file_name,cv20,conc,cHp,cHn,cWp,cWn,velo,curr,Vres,Ve,wm
1_5VOSO4-3-5H2SO4-N115,0.00E+00,1.50E+03,3.85E+03,3.03E+03,4.46E+04,4.61E+04,6.25E-03,5.00E-01,2.00E-05,4.00E-06,1.27E-04
1_5VOSO4-3_5H2SO4-1,0.00E+00,1.50E+03,3.85E+03,3.03E+03,4.46E+04,4.61E+04,4.17E-03,7.50E-01,8.00E-05,4.00E-06,1.27E-04
1_5VOSO4-3_5H2SO4-2,0.00E+00,1.50E+03,3.85E+03,3.03E+03,4.46E+04,4.61E+04,4.17E-03,7.50E-01,8.00E-05,4.00E-06,1.27E-04
Bin-2-2-5V-H2O2-1h-N115-04232015,0.00E+00,2.00E+03,5.00E+03,3.00E+03,4.75E+04,4.95E+04,4.17E-03,5.00E-01,5.00E-05,4.00E-06,1.27E-04
Bin-2-2-5V-H2O2-O2plm-N115-06112015,0.00E+00,2.00E+03,5.00E+03,3.00E+03,4.75E+04,4.95E+04,4.17E-03,5.00E-01,5.00E-05,4.00E-06,1.27E-04
Bin-2-2-5V-N115-0_05Nb-01222013,0.00E+00,2.00E+03,5.00E+03,3.00E+03,4.75E+04,4.95E+04,4.17E-03,6.90E-01,4.50E-05,4.00E-06,1.27E-04
Bin-2-2-5V-N115-0_05NbW-02152013-3,0.00E+00,2.00E+03,5.00E+03,3.00E+03,4.75E+04,4.95E+04,4.17E-03,7.50E-01,4.50E-05,4.00E-06,1.27E-04
Bin-2-2-5V-N115-0_1MNb-01182013,0.00E+00,2.00E+03,5.00E+03,3.00E+03,4.75E+04,4.95E+04,4.17E-03,6.90E-01,4.50E-05,4.00E-06,1.27E-04
Bin-2-2-5V-N115-air-heated-01162012,0.00E+00,2.00E+03,5.00E+03,3.00E+03,4.75E+04,4.95E+04,4.17E-03,1.50E+00,4.50E-05,4.00E-06,1.27E-04
Bin-2-2-5V-N115-airheated-02152013-2,0.00E+00,2.00E+03,5.00E+03,3.00E+03,4.75E+04,4.95E+04,4.17E-03,7.50E-01,4.50E-05,4.00E-06,1.27E-04
Bin-2-2-5V-N212-03032013,0.00E+00,2.00E+03,5.00E+03,3.00E+03,4.75E+04,4.95E+04,4.17E-03,5.00E-01,5.00E-05,4.00E-06,5.08E-05
Bin-2-2-5V-N212-temperature-varying-01222013,0.00E+00,2.00E+03,5.00E+03,3.00E+03,4.75E+04,4.95E+04,4.17E-03,8.00E-01,5.00E-05,4.00E-06,5.08E-05
JK-N212-V3-V4-225-cycle,0.00E+00,2.00E+03,5.00E+03,3.00E+03,4.75E+04,4.95E+04,4.17E-03,4.00E-01,3.00E-05,4.00E-06,5.08E-05
JK_N212_10CentNH4Cl_Cycle,0.00E+00,2.00E+03,5.00E+03,3.00E+03,4.75E+04,4.95E+04,4.17E-03,4.00E-01,2.50E-05,4.00E-06,5.08E-05
JK_N212_AceticAcid,0.00E+00,2.00E+03,5.00E+03,3.00E+03,4.75E+04,4.95E+04,4.17E-03,5.00E-01,4.00E-05,4.00E-06,5.08E-05
JK_N212_Laser10,0.00E+00,2.00E+03,5.00E+03,3.00E+03,4.75E+04,4.95E+04,4.17E-03,5.00E-01,4.00E-05,4.00E-06,5.08E-05
JK_N212_SGLThick_10cm2_Mix,0.00E+00,2.00E+03,5.00E+03,3.00E+03,4.75E+04,4.95E+04,4.17E-03,1.00E+00,2.00E-05,4.00E-06,5.08E-05
JK_N212_V225_ToyoboThick_10cm2_20mLmin,0.00E+00,2.00E+03,5.00E+03,3.00E+03,4.75E+04,4.95E+04,4.17E-03,5.00E-01,4.00E-05,4.00E-06,5.08E-05
JK_N212_V4+Sulfate_V3+Sulfate_Blank_Cycle011917,0.00E+00,1.50E+03,3.85E+03,3.03E+03,4.46E+04,4.61E+04,4.17E-03,4.00E-01,3.00E-05,4.00E-06,5.08E-05
PGCF-115 (1).xlsx,0.00E+00,1.50E+03,3.85E+03,3.03E+03,4.46E+04,4.61E+04,4.17E-03,7.50E-01,4.00E-05,4.00E-06,1.27E-04
PGCF-115 1_5VOSO4.xlsx,0.00E+00,1.50E+03,3.85E+03,3.03E+03,4.46E+04,4.61E+04,4.17E-03,7.50E-01,4.00E-05,4.00E-06,1.27E-04
WD_NEW_CELL_N212_V225_20MLMIN_GFD4_5,0.00E+00,2.00E+03,5.00E+03,3.00E+03,4.75E+04,4.95E+04,4.17E-03,5.00E-01,4.00E-05,4.00E-06,5.08E-05